datetime_local,active_power_kw,dc_input_power_kw,daily_energy_kwh,cumulative_energy_kwh,inverter_temp_c,grid_freq_hz,power_factor,efficiency_pct,inverter_status,is_generating,temp_c,humidity_pct,cloud_cover_pct,wind_speed_kmh,ghi_wm2,dni_wm2,dhi_wm2,precip_mm,solar_elevation_deg,solar_azimuth_deg,capacity_factor
2025-01-04 00:00:00,0.0000,,,,,,,,,0,0.1000,68,73,8.7000,0.0000,0.0000,0.0000,0.0000,-61.3352,46.3171,0.0000
2025-01-04 01:00:00,0.0000,,,,,,,,,0,0.6000,63,46,9.1000,0.0000,0.0000,0.0000,0.0000,-52.5010,66.0285,0.0000
2025-01-04 02:00:00,0.0000,,,,,,,,,0,-0.1000,63,23,5.5000,0.0000,0.0000,0.0000,0.0000,-42.3645,80.0318,0.0000
2025-01-04 03:00:00,0.0000,,,,,,,,,0,-0.8000,67,53,5.2000,0.0000,0.0000,0.0000,0.0000,-31.8040,91.2697,0.0000
2025-01-04 04:00:00,0.0000,,,,,,,,,0,-0.1000,64,87,5.0000,0.0000,0.0000,0.0000,0.0000,-21.2765,101.3181,0.0000
2025-01-04 05:00:00,0.0000,,,,,,,,,0,-0.2000,67,80,3.7000,0.0000,0.0000,0.0000,0.0000,-11.1036,111.0882,0.0000
2025-01-04 06:00:00,0.0000,,,,,,,,,0,-1.3000,71,44,2.6000,0.0000,0.0000,0.0000,0.0000,-1.5901,121.1985,0.0000
2025-01-04 07:00:00,0.0000,0.0000,0.0000,202230.8700,6.3667,33.3333,0.0000,0.0000,Standby: detecting sunlight,0,-0.1000,72,32,2.2000,24.0000,106.1000,16.0000,0.0000,6.9156,132.1244,0.0000
2025-01-04 08:00:00,3.7515,3.8507,3.3100,202234.2700,6.5333,50.0125,1.0000,92.1792,Connected to grid,1,1.5000,58,76,3.4000,124.0000,357.0000,59.0000,0.0000,13.9927,144.2159,0.0750
2025-01-04 09:00:00,19.5259,19.8497,22.1700,202253.4900,10.0000,50.0083,1.0000,98.3683,Connected to grid,1,2.3000,52,90,5.6000,169.0000,209.4000,109.0000,0.0000,19.1569,157.6102,0.3905
2025-01-04 10:00:00,34.6735,35.3688,56.2600,202288.1600,21.6000,50.0075,1.0000,98.0717,Connected to grid,1,2.9000,50,93,6.2000,217.0000,218.2000,140.0000,0.0000,21.9379,172.0857,0.6935
2025-01-04 11:00:00,41.8502,42.7343,97.8200,202330.5100,31.4500,50.0058,1.0000,97.9733,Connected to grid,1,3.3000,48,98,4.9000,257.0000,297.3000,145.0000,0.0000,22.0265,187.0069,0.8370
2025-01-04 12:00:00,47.3013,48.3026,143.7300,202377.3100,38.4333,50.0000,1.0000,97.9292,Connected to grid,1,3.7000,46,92,1.0000,250.0000,325.7000,134.0000,0.0000,19.4124,201.5351,0.9460
2025-01-04 13:00:00,30.9903,31.5998,174.4800,202408.6500,40.8667,50.0067,1.0000,98.0583,Connected to grid,1,4.0000,47,67,1.7000,151.0000,194.6000,94.0000,0.0000,14.3885,215.0125,0.6198
2025-01-04 14:00:00,30.8178,31.4256,205.4300,202440.1500,37.6667,49.9992,1.0000,98.0392,Connected to grid,1,3.4000,48,46,3.6000,117.0000,303.6000,59.0000,0.0000,7.4200,227.1903,0.6164
2025-01-04 15:00:00,23.3663,23.7467,229.7300,202464.8400,35.1167,50.0008,1.0000,98.3817,Connected to grid,1,0.9000,55,18,6.5000,33.0000,198.2000,17.0000,0.0000,-1.0065,238.1875,0.4673
2025-01-04 16:00:00,5.1993,5.3171,235.6100,202470.8400,29.9500,49.9925,1.0000,95.0192,Connected to grid,1,-0.1000,60,16,7.3000,0.0000,0.0000,0.0000,0.0000,-10.4650,248.3447,0.1040
2025-01-04 17:00:00,0.0374,0.0487,235.6500,202470.9300,23.8778,44.4478,0.3333,26.2444,Standby: no sunlight,1,-0.6000,64,4,7.0000,0.0000,0.0000,0.0000,0.0000,-20.6026,258.1308,0.0007
2025-01-04 18:00:00,0.0000,,,,,,,,,0,-1.1000,66,11,8.0000,0.0000,0.0000,0.0000,0.0000,-31.1123,268.1539,0.0000
2025-01-04 19:00:00,0.0000,,,,,,,,,0,-2.0000,70,65,6.1000,0.0000,0.0000,0.0000,0.0000,-41.6750,279.3006,0.0000
2025-01-04 20:00:00,0.0000,,,,,,,,,0,-2.8000,75,100,5.0000,0.0000,0.0000,0.0000,0.0000,-51.8456,293.0887,0.0000
2025-01-04 21:00:00,0.0000,,,,,,,,,0,-2.4000,72,100,7.0000,0.0000,0.0000,0.0000,0.0000,-60.7826,312.3454,0.0000
2025-01-04 22:00:00,0.0000,,,,,,,,,0,-2.2000,69,100,5.8000,0.0000,0.0000,0.0000,0.0000,-66.6771,341.0358,0.0000
2025-01-04 23:00:00,0.0000,,,,,,,,,0,-2.5000,71,100,3.2000,0.0000,0.0000,0.0000,0.0000,-66.8950,16.6177,0.0000
2025-01-05 00:00:00,0.0000,0.0000,0.0000,202470.9300,7.1000,0.0000,0.0000,0.0000,Standby: no sunlight,0,-2.3000,70,100,2.8000,0.0000,0.0000,0.0000,0.0000,-61.3017,46.0107,0.0000
2025-01-05 01:00:00,0.0000,,,,,,,,,0,-2.2000,66,100,0.7000,0.0000,0.0000,0.0000,0.0000,-52.4955,65.7806,0.0000
2025-01-05 02:00:00,0.0000,,,,,,,,,0,-2.0000,64,51,0.6000,0.0000,0.0000,0.0000,0.0000,-42.3708,79.8273,0.0000
2025-01-05 03:00:00,0.0000,,,,,,,,,0,-2.8000,65,24,1.3000,0.0000,0.0000,0.0000,0.0000,-31.8127,91.0919,0.0000
2025-01-05 04:00:00,0.0000,,,,,,,,,0,-3.0000,63,100,1.2000,0.0000,0.0000,0.0000,0.0000,-21.2816,101.1556,0.0000
2025-01-05 05:00:00,0.0000,,,,,,,,,0,-3.0000,62,26,0.2000,0.0000,0.0000,0.0000,0.0000,-11.1003,110.9336,0.0000
2025-01-05 06:00:00,0.0000,,,,,,,,,0,-3.0000,62,66,0.3000,0.0000,0.0000,0.0000,0.0000,-1.5743,121.0473,0.0000
2025-01-05 07:00:00,0.0113,0.0147,0.0000,202470.9300,3.8667,33.3233,0.3327,26.2433,Connected to grid,1,-2.0000,57,9,0.4000,29.0000,145.3000,18.0000,0.0000,6.9483,131.9748,0.0002
2025-01-05 08:00:00,3.1414,3.2367,2.7500,202473.8100,3.9417,50.0067,0.9994,90.8808,Connected to grid,1,-0.6000,53,97,2.8000,148.0000,558.1000,46.0000,0.0000,14.0460,144.0689,0.0628
2025-01-05 09:00:00,18.3936,18.7067,20.4900,202491.9500,7.0167,50.0133,1.0000,98.2800,Connected to grid,1,0.5000,50,43,3.6000,256.0000,643.3000,71.0000,0.0000,19.2337,157.4708,0.3679
2025-01-05 10:00:00,31.4340,31.9825,51.4700,202523.5500,13.2667,49.9975,1.0000,98.2733,Connected to grid,1,1.5000,46,14,4.6000,333.0000,722.5000,77.0000,0.0000,22.0385,171.9620,0.6287
2025-01-05 11:00:00,38.3667,39.1687,89.9500,202562.8400,20.9667,50.0092,1.0000,97.9383,Connected to grid,1,2.0000,43,33,4.8000,353.0000,726.7000,78.0000,0.0000,22.1482,186.9072,0.7673
2025-01-05 12:00:00,42.1135,43.0253,131.8600,202605.6600,30.6500,50.0025,1.0000,97.9042,Connected to grid,1,2.3000,42,65,4.7000,325.0000,692.2000,77.0000,0.0000,19.5498,201.4637,0.8423
2025-01-05 13:00:00,40.2212,41.0716,172.0800,202646.7400,36.1167,50.0017,1.0000,97.9067,Connected to grid,1,1.5000,49,78,4.9000,143.0000,91.5000,116.0000,0.0000,14.5356,214.9681,0.8044
2025-01-05 14:00:00,16.8603,17.1546,189.6800,202664.6800,31.8833,50.0008,1.0000,98.3333,Connected to grid,1,1.3000,49,97,3.7000,102.0000,144.7000,74.0000,0.0000,7.5718,227.1686,0.3372
2025-01-05 15:00:00,7.3826,7.5233,197.6300,202672.7800,25.7333,49.9975,1.0000,97.7500,Connected to grid,1,-0.5000,56,90,2.0000,26.0000,60.9000,21.0000,0.0000,-0.8531,238.1834,0.1477
2025-01-05 16:00:00,0.9905,1.0593,198.7000,202673.9300,21.7833,49.9992,1.0000,90.4208,Connected to grid,1,-1.6000,60,100,2.4000,0.0000,0.0000,0.0000,0.0000,-10.3115,248.3538,0.0198
2025-01-05 17:00:00,0.0106,0.0138,198.7200,202673.9900,19.2500,43.7600,0.1250,9.8413,Standby: no sunlight,1,-0.6000,55,100,2.7000,0.0000,0.0000,0.0000,0.0000,-20.4497,258.1496,0.0002
2025-01-05 18:00:00,0.0000,,,,,,,,,0,-1.4000,57,78,2.2000,0.0000,0.0000,0.0000,0.0000,-30.9598,268.1792,0.0000
2025-01-05 19:00:00,0.0000,,,,,,,,,0,-0.6000,54,78,1.0000,0.0000,0.0000,0.0000,0.0000,-41.5220,279.3269,0.0000
2025-01-05 20:00:00,0.0000,,,,,,,,,0,-0.4000,53,87,0.5000,0.0000,0.0000,0.0000,0.0000,-51.6914,293.1023,0.0000
2025-01-05 21:00:00,0.0000,,,,,,,,,0,-0.3000,52,85,1.4000,0.0000,0.0000,0.0000,0.0000,-60.6291,312.3064,0.0000
2025-01-05 22:00:00,0.0000,,,,,,,,,0,-0.6000,53,85,2.1000,0.0000,0.0000,0.0000,0.0000,-66.5392,340.8588,0.0000
2025-01-05 23:00:00,0.0000,,,,,,,,,0,-0.6000,54,92,1.7000,0.0000,0.0000,0.0000,0.0000,-66.8036,16.2992,0.0000
2025-01-06 00:00:00,0.0000,0.0000,0.0000,202673.9900,8.5000,0.0000,0.0000,0.0000,Standby: no sunlight,0,-0.3000,53,97,1.7000,0.0000,0.0000,0.0000,0.0000,-61.2605,45.6994,0.0000
2025-01-06 01:00:00,0.0000,,,,,,,,,0,-0.5000,69,97,0.7000,0.0000,0.0000,0.0000,0.0000,-52.4831,65.5263,0.0000
2025-01-06 02:00:00,0.0000,,,,,,,,,0,-0.8000,71,95,0.4000,0.0000,0.0000,0.0000,0.0000,-42.3707,79.6168,0.0000
2025-01-06 03:00:00,0.0000,,,,,,,,,0,-1.0000,71,95,0.7000,0.0000,0.0000,0.0000,0.0000,-31.8153,90.9087,0.0000
2025-01-06 04:00:00,0.0000,,,,,,,,,0,-1.4000,73,90,2.3000,0.0000,0.0000,0.0000,0.0000,-21.2805,100.9883,0.0000
2025-01-06 05:00:00,0.0000,,,,,,,,,0,-1.8000,75,97,2.2000,0.0000,0.0000,0.0000,0.0000,-11.0907,110.7748,0.0000
2025-01-06 06:00:00,0.0000,,,,,,,,,0,-1.1000,71,91,0.7000,0.0000,0.0000,0.0000,0.0000,-1.5518,120.8926,0.0000
2025-01-06 07:00:00,0.0313,0.0373,0.0000,202673.9900,5.8667,33.3300,0.3330,27.6567,Connected to grid,1,-0.8000,69,65,0.7000,25.0000,118.3000,16.0000,0.0000,6.9879,131.8223,0.0006
2025-01-06 08:00:00,2.0802,2.1546,1.8300,202675.8900,6.3167,49.9892,1.0000,91.9892,Connected to grid,1,0.8000,61,27,2.6000,134.0000,441.2000,53.0000,0.0000,14.1066,143.9199,0.0416
2025-01-06 09:00:00,12.2313,12.4324,13.9900,202688.2400,9.1500,50.0025,1.0000,98.3483,Connected to grid,1,2.3000,54,44,3.0000,243.0000,588.7000,73.0000,0.0000,19.3179,157.3306,0.2446
2025-01-06 10:00:00,8.0079,8.1382,21.9500,202696.2900,12.7667,50.0017,1.0000,98.3883,Connected to grid,1,3.8000,48,28,3.1000,309.0000,612.6000,91.0000,0.0000,22.1466,171.8390,0.1602
2025-01-06 11:00:00,9.4441,9.5945,31.0500,202705.5200,14.2333,50.0050,1.0000,98.4267,Connected to grid,1,5.2000,44,1,3.9000,352.0000,736.3000,72.0000,0.0000,22.2770,186.8098,0.1889
2025-01-06 12:00:00,18.6536,18.9686,49.4000,202724.1500,19.4167,50.0133,1.0000,98.3883,Connected to grid,1,5.6000,45,0,4.2000,331.0000,729.7000,68.0000,0.0000,19.6937,201.3959,0.3731
2025-01-06 13:00:00,13.3814,13.5909,62.7300,202737.6500,20.3167,50.0017,1.0000,98.4642,Connected to grid,1,4.9000,51,19,1.8000,260.0000,665.3000,62.0000,0.0000,14.6885,214.9286,0.2676
2025-01-06 14:00:00,29.1757,29.7101,92.5600,202767.9900,24.3833,50.0075,1.0000,98.1950,Connected to grid,1,3.6000,56,0,3.2000,153.0000,535.4000,48.0000,0.0000,7.7288,227.1524,0.5835
2025-01-06 15:00:00,18.4628,18.7725,111.5300,202787.2300,28.0833,50.0050,1.0000,98.3825,Connected to grid,1,1.9000,63,0,1.6000,38.0000,251.6000,17.0000,0.0000,-0.6951,238.1853,0.3693
2025-01-06 16:00:00,1.5933,1.6686,113.4200,202789.1800,23.7167,50.0075,1.0000,93.1800,Connected to grid,1,2.2000,65,71,2.0000,0.0000,0.0000,0.0000,0.0000,-10.1541,248.3694,0.0319
2025-01-06 17:00:00,0.0185,0.0241,113.4400,202789.2800,20.1000,43.7638,0.2495,19.8137,Standby: no sunlight,1,2.3000,67,45,1.1000,0.0000,0.0000,0.0000,0.0000,-20.2932,258.1755,0.0004
2025-01-06 18:00:00,0.0000,,,,,,,,,0,2.5000,69,29,1.8000,0.0000,0.0000,0.0000,0.0000,-30.8038,268.2122,0.0000
2025-01-06 19:00:00,0.0000,,,,,,,,,0,2.5000,71,35,1.3000,0.0000,0.0000,0.0000,0.0000,-41.3655,279.3620,0.0000
2025-01-06 20:00:00,0.0000,,,,,,,,,0,2.5000,73,12,1.1000,0.0000,0.0000,0.0000,0.0000,-51.5331,293.1260,0.0000
2025-01-06 21:00:00,0.0000,,,,,,,,,0,2.1000,77,9,1.1000,0.0000,0.0000,0.0000,0.0000,-60.4706,312.2791,0.0000
2025-01-06 22:00:00,0.0000,,,,,,,,,0,1.8000,79,2,1.3000,0.0000,0.0000,0.0000,0.0000,-66.3944,340.6925,0.0000
2025-01-06 23:00:00,0.0000,,,,,,,,,0,1.8000,80,38,1.3000,0.0000,0.0000,0.0000,0.0000,-66.7042,15.9833,0.0000
2025-01-07 00:00:00,0.0000,0.0000,0.0000,202789.2800,7.4000,0.0000,0.0000,0.0000,Standby: no sunlight,0,2.0000,80,32,1.7000,0.0000,0.0000,0.0000,0.0000,-61.2116,45.3835,0.0000
2025-01-07 01:00:00,0.0000,,,,,,,,,0,2.2000,77,47,1.2000,0.0000,0.0000,0.0000,0.0000,-52.4637,65.2658,0.0000
2025-01-07 02:00:00,0.0000,,,,,,,,,0,2.7000,74,4,2.3000,0.0000,0.0000,0.0000,0.0000,-42.3641,79.4003,0.0000
2025-01-07 03:00:00,0.0000,,,,,,,,,0,1.6000,79,11,1.6000,0.0000,0.0000,0.0000,0.0000,-31.8115,90.7201,0.0000
2025-01-07 04:00:00,0.0000,,,,,,,,,0,2.2000,76,73,2.6000,0.0000,0.0000,0.0000,0.0000,-21.2732,100.8163,0.0000
2025-01-07 05:00:00,0.0000,,,,,,,,,0,2.2000,78,96,0.6000,0.0000,0.0000,0.0000,0.0000,-11.0747,110.6119,0.0000
2025-01-07 06:00:00,0.0000,,,,,,,,,0,2.1000,79,16,1.7000,0.0000,0.0000,0.0000,0.0000,-1.5227,120.7344,0.0000
2025-01-07 07:00:00,0.0000,0.0000,0.0000,202789.2800,5.5000,50.0050,0.0000,0.0000,Standby: detecting sunlight,0,3.3000,76,24,3.5000,28.0000,169.8000,15.0000,0.0000,7.0344,131.6670,0.0000
2025-01-07 08:00:00,0.6916,0.7413,0.6900,202790.0200,5.9000,50.0017,0.9103,83.4567,Connected to grid,1,5.9000,65,73,1.0000,137.0000,476.7000,49.0000,0.0000,14.1744,143.7691,0.0138
2025-01-07 09:00:00,1.8165,1.8987,2.3800,202791.7800,8.2333,50.0083,0.9980,95.1558,Connected to grid,1,7.3000,60,100,3.4000,208.0000,427.5000,84.0000,0.0000,19.4095,157.1897,0.0363
2025-01-07 10:00:00,6.8269,6.9487,9.0300,202798.5100,10.3333,50.0025,0.9980,98.0383,Connected to grid,1,8.5000,57,96,1.8000,187.0000,120.3000,144.0000,0.0000,22.2620,171.7168,0.1365
2025-01-07 11:00:00,8.8224,8.9695,17.4100,202807.0200,12.6333,50.0217,0.9980,98.3308,Connected to grid,1,8.9000,55,100,4.1000,271.0000,300.8000,156.0000,0.0000,22.4129,186.7148,0.1764
2025-01-07 12:00:00,4.6388,4.7470,21.9800,202811.6500,14.4167,50.0158,0.9980,97.6233,Connected to grid,1,7.2000,64,100,1.5000,90.0000,11.0000,86.0000,0.0000,19.8441,201.3320,0.0928
2025-01-07 13:00:00,7.4702,7.6054,29.1900,202818.9900,15.2333,50.0042,0.9980,98.1325,Connected to grid,1,8.1000,69,100,2.4000,183.0000,160.0000,135.0000,0.0000,14.8471,214.8939,0.1494
2025-01-07 14:00:00,9.7491,9.9207,39.2100,202829.1600,16.7500,49.9975,0.9980,98.1675,Connected to grid,1,6.7000,78,91,0.3000,129.0000,246.6000,80.0000,0.0000,7.8908,227.1418,0.1950
2025-01-07 15:00:00,5.2249,5.3378,44.6500,202834.7000,17.9000,50.0008,0.9980,97.7267,Connected to grid,1,4.9000,82,99,1.6000,34.0000,153.1000,21.0000,0.0000,-0.5327,238.1933,0.1045
2025-01-07 16:00:00,1.1125,1.1783,45.8600,202835.9600,17.6833,50.0017,0.9980,91.7450,Connected to grid,1,5.1000,82,100,2.3000,0.0000,0.0000,0.0000,0.0000,-9.9928,248.3915,0.0223
2025-01-07 17:00:00,0.0454,0.0537,45.9100,202836.0200,16.9375,43.7488,0.2495,20.1788,Standby: no sunlight,1,4.8000,83,9,1.4000,0.0000,0.0000,0.0000,0.0000,-20.1332,258.2084,0.0009
2025-01-07 18:00:00,0.0000,,,,,,,,,0,3.7000,85,21,2.7000,0.0000,0.0000,0.0000,0.0000,-30.6445,268.2529,0.0000
2025-01-07 19:00:00,0.0000,,,,,,,,,0,3.8000,84,60,2.5000,0.0000,0.0000,0.0000,0.0000,-41.2055,279.4057,0.0000
2025-01-07 20:00:00,0.0000,,,,,,,,,0,4.1000,84,78,1.6000,0.0000,0.0000,0.0000,0.0000,-51.3710,293.1597,0.0000
2025-01-07 21:00:00,0.0000,,,,,,,,,0,4.1000,84,58,1.3000,0.0000,0.0000,0.0000,0.0000,-60.3071,312.2633,0.0000
2025-01-07 22:00:00,0.0000,,,,,,,,,0,3.6000,86,67,1.3000,0.0000,0.0000,0.0000,0.0000,-66.2428,340.5370,0.0000
2025-01-07 23:00:00,0.0000,,,,,,,,,0,3.2000,85,80,2.1000,0.0000,0.0000,0.0000,0.0000,-66.5966,15.6707,0.0000
2025-01-08 00:00:00,0.0000,0.0000,0.0000,202836.0200,9.8000,0.0000,0.0000,0.0000,Standby: no sunlight,0,3.2000,85,98,1.5000,0.0000,0.0000,0.0000,0.0000,-61.1548,45.0637,0.0000
2025-01-08 01:00:00,0.0000,,,,,,,,,0,4.9000,82,100,1.6000,0.0000,0.0000,0.0000,0.0000,-52.4372,64.9994,0.0000
2025-01-08 02:00:00,0.0000,,,,,,,,,0,4.4000,84,100,1.1000,0.0000,0.0000,0.0000,0.0000,-42.3509,79.1782,0.0000
2025-01-08 03:00:00,0.0000,,,,,,,,,0,3.8000,85,99,1.9000,0.0000,0.0000,0.0000,0.0000,-31.8014,90.5265,0.0000
2025-01-08 04:00:00,0.0000,,,,,,,,,0,3.5000,85,33,2.7000,0.0000,0.0000,0.0000,0.0000,-21.2595,100.6398,0.0000
