datetime_local,active_power_kw,dc_input_power_kw,daily_energy_kwh,cumulative_energy_kwh,inverter_temp_c,grid_freq_hz,power_factor,efficiency_pct,inverter_status,is_generating,temp_c,humidity_pct,cloud_cover_pct,wind_speed_kmh,ghi_wm2,dni_wm2,dhi_wm2,precip_mm,solar_elevation_deg,solar_azimuth_deg,capacity_factor
2025-05-01 00:00:00,0.0000,0.0000,0.0000,190913.3400,25.7000,0.0000,0.0000,0.0000,Standby: no sunlight,0,10.7000,75,30,6.9000,0.0000,0.0000,0.0000,0.0000,-26.0753,25.9497,0.0000
2025-05-01 01:00:00,0.0000,,,,,,,,,0,11.1000,73,2,6.8000,0.0000,0.0000,0.0000,0.0000,-20.2540,40.3868,0.0000
2025-05-01 02:00:00,0.0000,,,,,,,,,0,10.5000,77,0,6.7000,0.0000,0.0000,0.0000,0.0000,-12.5139,53.1565,0.0000
2025-05-01 03:00:00,0.0000,,,,,,,,,0,10.2000,78,2,5.8000,0.0000,0.0000,0.0000,0.0000,-3.4314,64.5556,0.0000
2025-05-01 04:00:00,0.0000,,,,,,,,,0,10.7000,78,9,6.1000,17.0000,67.7000,12.0000,0.0000,6.5232,75.0857,0.0000
2025-05-01 05:00:00,0.0000,,,,,,,,,0,12.9000,82,0,5.4000,133.0000,365.3000,59.0000,0.0000,16.9711,85.3387,0.0000
2025-05-01 06:00:00,0.4663,0.5110,0.4000,190913.8100,19.9667,45.8233,0.7499,65.7058,Connected to grid,1,15.9000,74,0,1.9000,306.0000,571.6000,90.0000,0.0000,27.5714,96.0180,0.0093
2025-05-01 07:00:00,2.8972,2.9922,3.1300,190916.6200,21.1333,49.9850,1.0000,96.5533,Connected to grid,1,18.3000,70,13,1.5000,484.0000,694.3000,109.0000,0.0000,37.9416,108.0715,0.0579
2025-05-01 08:00:00,12.0039,12.2465,14.5700,190928.3000,23.5333,49.9817,1.0000,97.9792,Connected to grid,1,20.4000,61,30,2.0000,645.0000,772.7000,121.0000,0.0000,47.5234,122.9236,0.2401
2025-05-01 09:00:00,25.5268,26.0238,39.5900,190953.7500,29.7833,49.9925,1.0000,98.0933,Connected to grid,1,21.9000,48,25,2.8000,735.0000,764.1000,137.0000,0.0000,55.3451,142.6067,0.5105
2025-05-01 10:00:00,36.1114,36.7347,75.3800,190990.1600,37.4667,49.9958,1.0000,98.3342,Connected to grid,1,22.2000,40,16,4.9000,749.0000,681.8000,172.0000,0.0000,59.7903,168.5022,0.7222
2025-05-01 11:00:00,42.8862,43.6583,118.0500,191033.6300,44.3833,50.0075,1.0000,98.2200,Connected to grid,1,23.1000,39,9,4.0000,778.0000,698.2000,174.0000,0.0000,59.2635,197.2472,0.8577
2025-05-01 12:00:00,31.1646,31.7379,151.0200,191067.2300,49.1833,33.3350,0.6667,65.4800,OFF: unexpected shutdown,1,23.0000,41,19,6.2000,734.0000,672.2000,171.0000,0.0000,53.9923,221.9516,0.6233
2025-05-01 13:00:00,20.4711,20.8598,170.5500,191087.1700,43.3917,25.0000,0.4990,49.0642,OFF: unexpected shutdown,1,20.5000,58,52,5.0000,649.0000,617.8000,176.0000,0.0000,45.7159,240.4947,0.4094
2025-05-01 14:00:00,13.8420,14.1041,184.9000,191101.8300,39.2667,50.0033,0.9990,98.1833,Connected to grid,1,21.1000,55,47,6.3000,475.0000,463.1000,172.0000,0.0000,35.9253,254.6455,0.2768
2025-05-01 15:00:00,31.1268,31.7062,212.4700,191129.9700,42.4167,50.0017,0.9990,98.2367,Connected to grid,1,21.7000,56,23,5.2000,440.0000,628.2000,119.0000,0.0000,25.4859,266.3361,0.6225
2025-05-01 16:00:00,37.2095,37.8712,246.3000,191164.5000,46.1667,49.9917,0.9990,98.2567,Connected to grid,1,20.9000,71,2,1.9000,267.0000,523.6000,86.0000,0.0000,14.9061,276.8742,0.7442
2025-05-01 17:00:00,21.4538,21.8371,268.3300,191186.9900,47.2333,49.9875,0.9990,98.2367,Connected to grid,1,18.9000,76,7,1.1000,96.0000,283.1000,48.0000,0.0000,4.5530,287.1420,0.4291
2025-05-01 18:00:00,13.2962,13.5222,281.6800,191200.6300,43.6333,49.9808,0.9990,98.2417,Connected to grid,1,15.8000,79,0,4.8000,8.0000,34.7000,6.0000,0.0000,-5.2294,297.8121,0.2659
2025-05-01 19:00:00,3.4057,3.4987,285.2300,191204.2700,38.7000,50.0025,0.9990,97.2658,Connected to grid,1,14.6000,70,2,8.5000,0.0000,0.0000,0.0000,0.0000,-14.0465,309.4565,0.0681
2025-05-01 20:00:00,0.4407,0.4773,285.7700,191204.9300,35.1833,49.9925,0.6660,57.5217,Standby: initializing,1,13.7000,64,0,7.5000,0.0000,0.0000,0.0000,0.0000,-21.4062,322.5433,0.0088
2025-05-01 21:00:00,0.0000,0.0000,285.7700,191204.9300,34.0000,24.9900,0.0000,0.0000,Standby: no sunlight,0,13.2000,64,1,7.4000,0.0000,0.0000,0.0000,0.0000,-26.7186,337.2909,0.0000
2025-05-01 22:00:00,0.0000,,,,,,,,,0,12.0000,70,0,6.3000,0.0000,0.0000,0.0000,0.0000,-29.3953,353.4105,0.0000
2025-05-01 23:00:00,0.0000,,,,,,,,,0,10.6000,78,0,5.6000,0.0000,0.0000,0.0000,0.0000,-29.0670,9.9917,0.0000
2025-05-02 00:00:00,0.0000,0.0000,0.0000,191204.9300,26.2000,0.0000,0.0000,0.0000,Standby: no sunlight,0,9.4000,83,0,4.7000,0.0000,0.0000,0.0000,0.0000,-25.7819,25.8719,0.0000
2025-05-02 01:00:00,0.0000,,,,,,,,,0,9.6000,79,2,4.0000,0.0000,0.0000,0.0000,0.0000,-19.9766,40.2611,0.0000
2025-05-02 02:00:00,0.0000,,,,,,,,,0,9.2000,80,11,2.6000,0.0000,0.0000,0.0000,0.0000,-12.2546,52.9993,0.0000
2025-05-02 03:00:00,0.0000,,,,,,,,,0,9.2000,78,2,2.2000,0.0000,0.0000,0.0000,0.0000,-3.1883,64.3775,0.0000
2025-05-02 04:00:00,0.0000,,,,,,,,,0,10.4000,77,5,3.3000,18.0000,66.0000,13.0000,0.0000,6.7543,74.8915,0.0000
2025-05-02 05:00:00,0.0000,0.0000,0.0000,191204.9300,20.2000,0.0000,0.0000,0.0000,Standby: no sunlight,0,13.3000,71,12,4.8000,133.0000,348.7000,61.0000,0.0000,17.1955,85.1292,0.0000
2025-05-02 06:00:00,0.4822,0.5254,0.4200,191205.4300,19.8167,45.8325,0.7497,66.1183,Connected to grid,1,15.5000,65,32,2.8000,293.0000,503.2000,101.0000,0.0000,27.7960,95.7925,0.0096
2025-05-02 07:00:00,3.3362,3.4347,3.6700,191208.8000,21.0167,50.0092,1.0000,96.7617,Connected to grid,1,17.2000,61,32,3.0000,445.0000,550.2000,146.0000,0.0000,38.1749,107.8310,0.0667
2025-05-02 08:00:00,8.0795,8.2216,11.9400,191217.2200,23.1000,50.0067,1.0000,98.2000,Connected to grid,1,18.2000,60,20,4.9000,546.0000,550.5000,171.0000,0.0000,47.7755,122.6815,0.1616
