datetime_local,temp_c,humidity_pct,cloud_cover_pct,wind_speed_kmh,ghi_wm2,dni_wm2,dhi_wm2
2026-05-01 00:00:00,6.0,91,74,2.9,0.0,0.0,0.0
2026-05-01 01:00:00,5.3,93,45,2.7,0.0,0.0,0.0
2026-05-01 02:00:00,4.5,94,32,2.5,0.0,0.0,0.0
2026-05-01 03:00:00,3.7,95,30,2.8,0.0,0.0,0.0
2026-05-01 04:00:00,3.2,97,43,3.1,16.0,27.2,14.0
2026-05-01 05:00:00,4.5,98,51,0.8,130.0,262.0,77.0
2026-05-01 06:00:00,6.8,85,37,6.0,293.0,441.9,126.0
2026-05-01 07:00:00,8.3,77,66,7.4,424.0,444.1,184.0
2026-05-01 08:00:00,9.7,67,65,5.5,517.0,430.3,225.0
2026-05-01 09:00:00,11.0,61,39,5.9,620.0,467.4,254.0
2026-05-01 10:00:00,12.0,55,82,7.4,713.0,522.1,271.0
2026-05-01 11:00:00,12.8,49,61,8.2,598.0,306.3,333.0
2026-05-01 12:00:00,13.3,45,86,5.4,564.0,293.8,318.0
2026-05-01 13:00:00,13.5,44,96,5.2,543.0,342.4,281.0
2026-05-01 14:00:00,13.4,44,91,4.4,410.0,274.0,231.0
2026-05-01 15:00:00,13.0,46,75,7.5,251.0,115.8,192.0
2026-05-01 16:00:00,12.4,46,67,7.3,189.0,226.8,111.0
2026-05-01 17:00:00,11.7,51,62,5.5,75.0,137.4,52.0
2026-05-01 18:00:00,10.2,59,65,6.0,5.0,0.0,5.0
2026-05-01 19:00:00,8.7,66,46,3.6,0.0,0.0,0.0
2026-05-01 20:00:00,7.7,72,41,2.5,0.0,0.0,0.0
2026-05-01 21:00:00,6.4,79,18,3.8,0.0,0.0,0.0
2026-05-01 22:00:00,4.6,96,33,3.8,0.0,0.0,0.0
2026-05-01 23:00:00,3.7,99,60,2.9,0.0,0.0,0.0
2026-05-02 00:00:00,2.8,98,59,3.6,0.0,0.0,0.0
2026-05-02 01:00:00,2.6,95,50,3.5,0.0,0.0,0.0
2026-05-02 02:00:00,2.4,93,33,3.4,0.0,0.0,0.0
2026-05-02 03:00:00,2.0,92,38,4.4,0.0,0.0,0.0
2026-05-02 04:00:00,1.6,95,52,3.8,18.0,39.7,15.0
2026-05-02 05:00:00,3.6,92,22,2.6,135.0,310.6,71.0
